#  CREATED =
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of a M2 Dwarf (Gleise 411) source model (Angst vs FLAM)
#  MAPKEY  = M2 Dwarf
#  FILE_TYP= M2 Dwarf (Gleise 411) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). The origin of the
#  HISOTRY  data is unknown; however, this file has been validated and found to
#  HISTORY  be representative of the spectra for a M2 Dwarf.
#
# wl/angst        synflam
#
      7977.02 9.4686300000E-15
      7980.61 9.4893600000E-15
      7984.21 9.5095100000E-15
       7987.8 9.5463800000E-15
      7991.39 9.5802400000E-15
      7994.99 9.6023200000E-15
      7998.58 9.6112100000E-15
      8002.17 9.6726800000E-15
      8005.77 9.6844600000E-15
      8009.36 9.6699300000E-15
      8012.95 9.7231000000E-15
      8016.55 9.6991700000E-15
      8020.14 9.7186400000E-15
      8023.73 9.7757800000E-15
      8027.33 9.7363600000E-15
      8030.92 9.7744000000E-15
      8034.51 9.8499000000E-15
      8038.11 9.8984500000E-15
       8041.7 9.9282000000E-15
      8045.29 9.9428300000E-15
      8048.89 1.0045600000E-14
      8052.48 1.0116700000E-14
      8056.07 1.0027000000E-14
      8059.67 9.9966800000E-15
      8063.26 1.0012300000E-14
      8066.85 1.0001500000E-14
      8070.45 1.0047200000E-14
      8074.04 1.0070700000E-14
      8077.63 1.0129300000E-14
      8081.23 1.0156600000E-14
      8084.82 1.0132100000E-14
      8088.41 9.9362600000E-15
      8092.01 9.9208100000E-15
       8095.6 1.0133000000E-14
      8099.19 1.0146500000E-14
      8102.79 1.0133400000E-14
      8106.38 1.0049400000E-14
      8109.97 1.0055500000E-14
      8113.57 1.0050000000E-14
      8117.16 1.0045000000E-14
      8120.75 1.0077200000E-14
      8124.35 1.0030200000E-14
      8127.94 9.8956100000E-15
      8131.54 9.8399200000E-15
      8135.13 9.8444400000E-15
      8138.72 9.7665300000E-15
      8142.32 9.6645700000E-15
      8145.91 9.5700800000E-15
       8149.5 9.3890300000E-15
       8153.1 9.2298000000E-15
      8156.69 9.1236600000E-15
      8160.28 9.1043100000E-15
      8163.88 9.1930300000E-15
      8167.47 9.2342300000E-15
      8171.06 9.0449900000E-15
      8174.66 8.7696500000E-15
      8178.25 8.7078000000E-15
      8181.84 8.5816700000E-15
      8185.44 8.4832900000E-15
      8189.03 8.5717200000E-15
      8192.62 8.7197300000E-15
      8196.22 9.0599000000E-15
      8199.81 9.4885200000E-15
       8203.4 9.8410600000E-15
        8207. 9.9658800000E-15
      8210.59 9.9472600000E-15
      8214.18 9.8640500000E-15
      8217.78 9.5739500000E-15
      8221.37 9.1671600000E-15
      8224.96 8.8530400000E-15
      8228.56 8.7924200000E-15
      8232.15 9.0383400000E-15
      8235.74 9.4725400000E-15
      8239.34 9.8286000000E-15
      8242.93 9.9446400000E-15
      8246.52 9.9489200000E-15
      8250.12 9.9554400000E-15
      8253.71 9.9630800000E-15
       8257.3 9.9473800000E-15
       8260.9 9.9792900000E-15
      8264.49 1.0005900000E-14
      8268.08 9.8735300000E-15
      8271.68 9.6400200000E-15
      8275.27 9.4816200000E-15
      8278.86 9.4844400000E-15
      8282.46 9.4878200000E-15
      8286.05 9.4833700000E-15
      8289.64 9.4209800000E-15
      8293.24 9.4579400000E-15
      8296.83 9.5663400000E-15
      8300.42 9.5160000000E-15
      8304.02 9.5581500000E-15
      8307.61 9.6692900000E-15
       8311.2 9.6084400000E-15
       8314.8 9.6344900000E-15
      8318.39 9.6327300000E-15
      8321.98 9.5208500000E-15
      8325.58 9.5573500000E-15
      8329.17 9.6219600000E-15
      8332.76 9.7493800000E-15
      8336.36 9.7559100000E-15
      8339.95 9.7299000000E-15
      8343.54 9.8033100000E-15
      8347.14 9.8145500000E-15
      8350.73 9.7603300000E-15
      8354.32 9.7338300000E-15
      8357.92 9.7500700000E-15
      8361.51 9.7550500000E-15
       8365.1 9.7653400000E-15
       8368.7 9.7095600000E-15
      8372.29 9.5524100000E-15
      8375.88 9.4562500000E-15
      8379.48 9.4128000000E-15
      8383.07 9.4498200000E-15
      8386.66 9.5885400000E-15
      8390.26 9.6620400000E-15
      8393.85 9.6863400000E-15
      8397.45 9.7366300000E-15
      8401.04 9.7874300000E-15
      8404.63 9.7392500000E-15
      8408.22 9.6945400000E-15
      8411.82 9.5872900000E-15
      8415.41 9.5401700000E-15
        8419. 9.5639700000E-15
       8422.6 9.4217700000E-15
      8426.19 9.2383500000E-15
      8429.79 9.1344400000E-15
      8433.38 9.1554500000E-15
      8436.97 9.2696800000E-15
      8440.57 9.4166200000E-15
      8444.16 9.4541600000E-15
      8447.75 9.4105100000E-15
      8451.35 9.3613600000E-15
      8454.94 9.3087400000E-15
      8458.53 9.2849700000E-15
      8462.13 9.2037700000E-15
      8465.72 9.1990800000E-15
      8469.31 9.2409800000E-15
      8472.91 9.2629000000E-15
       8476.5 9.2835000000E-15
      8480.09 9.2752800000E-15
      8483.69 9.2159400000E-15
      8487.28 9.0505900000E-15
      8490.87 8.7933100000E-15
      8494.47 8.7410300000E-15
      8498.06 8.8688400000E-15
      8501.65 8.9118500000E-15
      8505.25 9.0276800000E-15
      8508.84 9.0124800000E-15
      8512.43 8.9725200000E-15
      8516.03 9.0444200000E-15
      8519.62 9.0558400000E-15
      8523.21 9.0707700000E-15
      8526.81 8.9307800000E-15
       8530.4 8.6004800000E-15
      8533.99 8.2256600000E-15
      8537.59 8.0818200000E-15
      8541.18 8.2143300000E-15
      8544.77 8.4804100000E-15
      8548.37 8.8412300000E-15
      8551.96 9.1295800000E-15
      8555.55 9.2799300000E-15
      8559.15 9.3277000000E-15
      8562.74 9.2640800000E-15
      8566.33 9.2799000000E-15
      8569.93 9.2968200000E-15
      8573.52 9.3089500000E-15
      8577.11 9.3504300000E-15
      8580.71 9.3510400000E-15
       8584.3 9.3540500000E-15
      8587.89 9.4312600000E-15
      8591.49 9.4172400000E-15
      8595.08 9.2955000000E-15
      8598.67 9.3284800000E-15
      8602.27 9.3349100000E-15
      8605.86 9.2913500000E-15
      8609.45 9.3295400000E-15
      8613.05 9.3213300000E-15
      8616.64 9.3358500000E-15
      8620.23 9.4085300000E-15
      8623.83 9.4530700000E-15
      8627.42 9.4436500000E-15
      8631.01 9.4449400000E-15
      8634.61 9.5088000000E-15
       8638.2 9.4935800000E-15
      8641.79 9.3754100000E-15
      8645.39 9.3279600000E-15
      8648.98 9.1736200000E-15
      8652.58 8.8196600000E-15
      8656.17 8.5543600000E-15
      8659.76 8.5709100000E-15
      8663.35 8.6898400000E-15
      8666.95 8.9354500000E-15
      8670.54 9.1179400000E-15
      8674.13 9.2059400000E-15
      8677.73 9.1613300000E-15
      8681.32 9.0798300000E-15
      8684.92 9.0306600000E-15
      8688.51 9.0546800000E-15
       8692.1 9.1239300000E-15
       8695.7 9.1691600000E-15
      8699.29 9.1476800000E-15
      8702.88 9.1732500000E-15
      8706.48 9.2412900000E-15
      8710.07 9.2052400000E-15
      8713.66 9.2000300000E-15
      8717.26 9.2819700000E-15
      8720.85 9.3660600000E-15
      8724.44 9.3171000000E-15
      8728.04 9.3783700000E-15
      8731.63 9.4289400000E-15
      8735.22 9.4821600000E-15
      8738.82 9.5206100000E-15
      8742.41 9.4685700000E-15
        8746. 9.4836200000E-15
       8749.6 9.4952300000E-15
      8753.19 9.5191400000E-15
      8756.78 9.4551300000E-15
      8760.38 9.4247600000E-15
      8763.97 9.4648100000E-15
      8767.56 9.4142000000E-15
      8771.16 9.5384200000E-15
      8774.75 9.5494700000E-15
      8778.34 9.5387200000E-15
      8781.94 9.6126000000E-15
      8785.53 9.6153300000E-15
      8789.12 9.5368500000E-15
      8792.72 9.5223200000E-15
